# SN z phase m_Y m_Y_err mu_snpy mu_snpy_err mu_lcdm
DES15C3odz 0.50800 17.379 24.884 0.092 42.686 0.057 42.303
DES15C3odz 0.50800 22.473 24.321 0.064 42.686 0.057 42.303
DES16C1cim 0.53100 13.382 24.789 0.095 42.546 0.047 42.418
DES16C1cim 0.53100 17.310 24.550 0.063 42.546 0.047 42.418
DES16C1cim 0.53100 22.805 24.252 0.060 42.546 0.047 42.418
DES16C2cva 0.40290 11.958 24.252 0.090 41.783 0.053 41.703
DES16C2cva 0.40290 16.945 23.982 0.081 41.783 0.053 41.703
DES16C2cva 0.40290 22.515 23.543 0.074 41.783 0.053 41.703
DES16C3cmy 0.55640 6.958 24.683 0.068 42.519 0.048 42.541
DES16C3cmy 0.55640 10.924 24.905 0.075 42.519 0.048 42.541
DES16C3cmy 0.55640 16.367 24.665 0.061 42.519 0.048 42.541
DES16S2afz 0.48300 5.963 24.083 0.065 41.951 0.051 42.171
DES16S2afz 0.48300 10.072 24.230 0.085 41.951 0.051 42.171
DES16S2afz 0.48300 15.433 24.079 0.072 41.951 0.051 42.171
DES15E2uc 0.56600 15.945 25.117 0.079 42.813 0.047 42.586
DES15E2uc 0.56600 19.823 24.807 0.081 42.813 0.047 42.586
DES15E2uc 0.56600 25.958 24.464 0.059 42.813 0.047 42.586
DES15E2mhy 0.43910 6.763 23.793 0.070 41.720 0.051 41.924
DES15E2mhy 0.43910 11.429 24.029 0.075 41.720 0.051 41.924
DES15E2mhy 0.43910 18.040 23.912 0.075 41.720 0.051 41.924
DES16E1dcx 0.45300 6.072 23.930 0.135 41.807 0.069 42.005
DES16E1dcx 0.45300 10.481 24.302 0.143 41.807 0.069 42.005
DES16E1dcx 0.45300 16.134 23.906 0.076 41.807 0.069 42.005
DES16S1agd 0.50400 8.501 24.447 0.085 42.042 0.057 42.282
DES16S1agd 0.50400 12.641 24.367 0.104 42.042 0.057 42.282
DES16S1agd 0.50400 18.234 24.149 0.063 42.042 0.057 42.282
DES16E2cqq 0.42600 13.453 24.449 0.082 41.957 0.039 41.846
DES16E2cqq 0.42600 18.364 24.071 0.051 41.957 0.039 41.846
DES16E2cqq 0.42600 25.053 23.681 0.050 41.957 0.039 41.846
DES15E2nlz 0.41000 10.944 24.167 0.084 41.916 0.050 41.748
DES15E2nlz 0.41000 15.319 24.164 0.062 41.916 0.050 41.748
DES15E2nlz 0.41000 21.193 23.859 0.056 41.916 0.050 41.748
DES16X3zd 0.49500 8.762 24.419 0.124 41.938 0.070 42.235
DES16X3zd 0.49500 12.928 24.395 0.102 41.938 0.070 42.235
DES16X3zd 0.49500 18.555 24.087 0.113 41.938 0.070 42.235
2008hv 0.01360 -12.642 17.258 0.013 33.838 0.008 33.849
2008hv 0.01360 -12.642 17.252 0.012 33.838 0.008 33.849
2008hv 0.01360 21.814 15.607 0.010 33.838 0.008 33.849
2008hv 0.01360 21.823 15.615 0.010 33.838 0.008 33.849
2008bq 0.03450 2.750 17.665 0.024 35.758 0.018 35.904
2008bq 0.03450 2.740 17.631 0.027 35.758 0.018 35.904
2008bq 0.03450 24.964 17.466 0.018 35.758 0.018 35.904
2008bq 0.03450 24.964 17.469 0.019 35.758 0.018 35.904
2008bq 0.03450 29.800 17.139 0.056 35.758 0.018 35.904
2008bq 0.03450 29.800 17.251 0.056 35.758 0.018 35.904
2008bq 0.03450 32.691 17.154 0.031 35.758 0.018 35.904
2008bq 0.03450 32.701 17.103 0.032 35.758 0.018 35.904
2005ki 0.02040 -8.975 16.726 0.023 34.599 0.009 34.741
2005ki 0.02040 -8.965 16.664 0.020 34.599 0.009 34.741
2005ki 0.02040 -4.069 16.162 0.015 34.599 0.009 34.741
2005ki 0.02040 -4.069 16.176 0.014 34.599 0.009 34.741
2005ki 0.02040 -1.106 16.319 0.021 34.599 0.009 34.741
2005ki 0.02040 2.829 16.734 0.018 34.599 0.009 34.741
2005ki 0.02040 2.829 16.715 0.020 34.599 0.009 34.741
2005ki 0.02040 3.800 16.783 0.023 34.599 0.009 34.741
2005ki 0.02040 3.810 16.797 0.020 34.599 0.009 34.741
2005ki 0.02040 8.725 17.144 0.023 34.599 0.009 34.741
2005ki 0.02040 8.725 17.131 0.023 34.599 0.009 34.741
2005ki 0.02040 9.697 17.220 0.027 34.599 0.009 34.741
2005ki 0.02040 13.641 17.003 0.021 34.599 0.009 34.741
2005ki 0.02040 13.651 17.020 0.028 34.599 0.009 34.741
2005ki 0.02040 18.537 16.637 0.024 34.599 0.009 34.741
2005ki 0.02040 18.547 16.612 0.023 34.599 0.009 34.741
2005ki 0.02040 26.396 16.274 0.016 34.599 0.009 34.741
2005ki 0.02040 26.396 16.278 0.020 34.599 0.009 34.741
2009D 0.02470 -2.429 16.570 0.023 35.111 0.011 35.163
2009D 0.02470 -2.420 16.538 0.018 35.111 0.011 35.163
2009D 0.02470 -1.424 16.610 0.023 35.111 0.011 35.163
2009D 0.02470 -1.415 16.637 0.042 35.111 0.011 35.163
2009D 0.02470 0.488 16.751 0.024 35.111 0.011 35.163
2009D 0.02470 0.498 16.805 0.043 35.111 0.011 35.163
2007A 0.01650 -5.801 15.889 0.021 34.331 0.012 34.273
2007A 0.01650 -5.791 15.881 0.018 34.331 0.012 34.273
2007A 0.01650 -3.826 15.846 0.027 34.331 0.012 34.273
2007A 0.01650 -3.816 15.847 0.030 34.331 0.012 34.273
2007A 0.01650 -1.861 15.950 0.019 34.331 0.012 34.273
2007A 0.01650 -1.851 15.981 0.020 34.331 0.012 34.273
2007A 0.01650 2.070 16.362 0.026 34.331 0.012 34.273
2007A 0.01650 2.080 16.348 0.023 34.331 0.012 34.273
2007A 0.01650 6.973 16.659 0.044 34.331 0.012 34.273
2007A 0.01650 6.983 16.743 0.029 34.331 0.012 34.273
2007A 0.01650 8.938 16.838 0.067 34.331 0.012 34.273
2007A 0.01650 8.938 16.928 0.065 34.331 0.012 34.273
2007A 0.01650 10.903 16.971 0.107 34.331 0.012 34.273
2007A 0.01650 10.903 16.995 0.064 34.331 0.012 34.273
2007A 0.01650 12.859 17.009 0.060 34.331 0.012 34.273
2007A 0.01650 12.869 16.913 0.063 34.331 0.012 34.273
2007A 0.01650 18.754 16.744 0.083 34.331 0.012 34.273
2007A 0.01650 18.754 16.638 0.053 34.331 0.012 34.273
2007ca 0.01510 -10.083 16.222 0.018 34.257 0.011 34.079
2007ca 0.01510 -10.073 16.216 0.021 34.257 0.011 34.079
2007ca 0.01510 0.725 16.044 0.015 34.257 0.011 34.079
2007ca 0.01510 0.735 16.048 0.020 34.257 0.011 34.079
2007ca 0.01510 5.685 16.523 0.038 34.257 0.011 34.079
2007ca 0.01510 5.695 16.554 0.031 34.257 0.011 34.079
2007ca 0.01510 9.708 16.723 0.050 34.257 0.011 34.079
2007ca 0.01510 9.708 16.655 0.100 34.257 0.011 34.079
2007ca 0.01510 10.605 16.820 0.028 34.257 0.011 34.079
2007ca 0.01510 10.615 16.816 0.024 34.257 0.011 34.079
2007ca 0.01510 30.367 15.808 0.011 34.257 0.011 34.079
2007ca 0.01510 30.377 15.838 0.015 34.257 0.011 34.079
2005el 0.01490 8.446 16.467 0.014 33.970 0.008 34.049
2005el 0.01490 8.456 16.488 0.015 33.970 0.008 34.049
2005el 0.01490 36.054 16.098 0.015 33.970 0.008 34.049
2005el 0.01490 36.064 16.092 0.013 33.970 0.008 34.049
2009cz 0.02200 -3.665 16.331 0.012 34.827 0.013 34.907
2009cz 0.02200 -3.655 16.351 0.012 34.827 0.013 34.907
2009cz 0.02200 5.100 16.910 0.022 34.827 0.013 34.907
2009cz 0.02200 5.110 16.917 0.023 34.827 0.013 34.907
2009cz 0.02200 6.079 16.982 0.021 34.827 0.013 34.907
2009cz 0.02200 17.821 16.949 0.026 34.827 0.013 34.907
2009cz 0.02200 17.821 16.931 0.022 34.827 0.013 34.907
2009cz 0.02200 21.739 16.741 0.041 34.827 0.013 34.907
2009cz 0.02200 21.729 16.761 0.031 34.827 0.013 34.907
2009cz 0.02200 11.906 17.231 0.021 34.827 0.013 34.907
2009cz 0.02200 11.926 17.243 0.020 34.827 0.013 34.907
2005hj 0.05640 -2.087 18.481 0.070 36.929 0.024 37.006
2005hj 0.05640 -2.078 18.479 0.071 36.929 0.024 37.006
2005hj 0.05640 -0.149 18.501 0.066 36.929 0.024 37.006
2005hj 0.05640 -0.149 18.512 0.066 36.929 0.024 37.006
2005hj 0.05640 1.695 18.567 0.071 36.929 0.024 37.006
2005hj 0.05640 1.705 18.496 0.071 36.929 0.024 37.006
2005hj 0.05640 2.698 18.663 0.077 36.929 0.024 37.006
2005hj 0.05640 21.574 18.884 0.110 36.929 0.024 37.006
2005hj 0.05640 21.574 18.964 0.120 36.929 0.024 37.006
2005hj 0.05640 25.367 18.709 0.108 36.929 0.024 37.006
2005hj 0.05640 25.376 18.659 0.085 36.929 0.024 37.006
2005hj 0.05640 32.970 18.306 0.063 36.929 0.024 37.006
2005hj 0.05640 32.980 18.396 0.066 36.929 0.024 37.006
2006hx 0.04440 -8.201 18.187 0.035 36.388 0.019 36.468
2006hx 0.04440 -8.191 18.187 0.037 36.388 0.019 36.468
2006hx 0.04440 14.678 18.797 0.039 36.388 0.019 36.468
2006hx 0.04440 17.538 18.604 0.036 36.388 0.019 36.468
2006hx 0.04440 17.548 18.565 0.036 36.388 0.019 36.468
2006hx 0.04440 25.209 17.995 0.034 36.388 0.019 36.468
2006hx 0.04440 25.219 18.012 0.035 36.388 0.019 36.468
2005iq 0.03290 -2.558 17.368 0.036 35.816 0.011 35.799
2005iq 0.03290 -2.549 17.376 0.029 35.816 0.011 35.799
2005iq 0.03290 -1.553 17.414 0.032 35.816 0.011 35.799
2005iq 0.03290 -1.543 17.416 0.034 35.816 0.011 35.799
2005iq 0.03290 0.372 17.552 0.037 35.816 0.011 35.799
2005iq 0.03290 0.372 17.595 0.035 35.816 0.011 35.799
2005iq 0.03290 4.192 17.991 0.048 35.816 0.011 35.799
2005iq 0.03290 4.182 17.908 0.046 35.816 0.011 35.799
2005iq 0.03290 8.099 18.272 0.051 35.816 0.011 35.799
2005iq 0.03290 8.090 18.267 0.052 35.816 0.011 35.799
2005iq 0.03290 11.997 18.365 0.066 35.816 0.011 35.799
2005iq 0.03290 16.803 18.076 0.041 35.816 0.011 35.799
2005iq 0.03290 16.813 18.089 0.059 35.816 0.011 35.799
2005iq 0.03290 21.639 17.824 0.057 35.816 0.011 35.799
2005iq 0.03290 21.649 17.758 0.037 35.816 0.011 35.799
2005iq 0.03290 26.513 17.505 0.028 35.816 0.011 35.799
2005iq 0.03290 26.513 17.570 0.035 35.816 0.011 35.799
2005iq 0.03290 29.366 17.588 0.030 35.816 0.011 35.799
2005iq 0.03290 29.376 17.574 0.036 35.816 0.011 35.799
2005iq 0.03290 42.916 18.369 0.064 35.816 0.011 35.799
2005iq 0.03290 42.935 18.415 0.066 35.816 0.011 35.799
2007bd 0.03180 -8.523 17.463 0.037 35.609 0.012 35.723
2007bd 0.03180 -8.513 17.347 0.037 35.609 0.012 35.723
2007bd 0.03180 -5.603 17.116 0.030 35.609 0.012 35.723
2007bd 0.03180 -5.593 17.165 0.038 35.609 0.012 35.723
2007bd 0.03180 -1.694 17.260 0.036 35.609 0.012 35.723
2007bd 0.03180 -1.684 17.243 0.043 35.609 0.012 35.723
2007bd 0.03180 1.110 17.479 0.038 35.609 0.012 35.723
