#cosmological_parameters--omega_m    cosmological_parameters--h0    cosmological_parameters--omega_b    cosmological_parameters--n_s    cosmological_parameters--a_s    cosmological_parameters--omnuh2    cosmological_parameters--w    cosmological_parameters--tau    planck--a_planck    planck--a_cib_217    planck--xi_sz_cib    planck--a_sz    planck--ps_a_100_100    planck--ps_a_143_143    planck--ps_a_143_217    planck--ps_a_217_217    planck--ksz_norm    planck--gal545_a_100    planck--gal545_a_143    planck--gal545_a_143_217    planck--gal545_a_217    planck--calib_100t    planck--calib_217t    planck--galf_te_a_100    planck--galf_te_a_100_143    planck--galf_te_a_100_217    planck--galf_te_a_143    planck--galf_te_a_143_217    planck--galf_te_a_217    supernova_params--m
7.820048189120034103e-04 -3.007775033364146048e-04 -5.292263239952644871e-05 3.177028998241045090e-03 -5.179190955834560870e-13 4.339984799779447738e-05 -4.957184129902669247e-03 -1.498029008796232520e-03 -4.495540049047172429e-05 -1.400607704614956361e+01 2.020753936590893307e+00 2.620867316584178486e+00 -1.664354786353661453e+01 5.792773761276308164e+01 9.436894831522305083e+01 5.640336312920742756e+01 -1.193770518745858311e+01 -7.084282421392873452e-01 -9.490877059584120756e-01 2.288489394728504767e+00 4.482387375564832688e+00 2.555103652343705505e-04 -3.276580852481507009e-04 1.367851835226678407e-03 -2.451006500681875231e-03 -3.618237041664596203e-04 4.024706336187928481e-03 1.723812194126989050e-02 7.855232307812050341e-02 -2.807340782537868454e-03
-9.133874590265279305e-04 4.993767190918374510e-04 1.919290488470299162e-06 6.967206113051141458e-03 1.756004615646535785e-11 1.667940574674292350e-05 1.519973127898135426e-03 2.399329792344969108e-03 3.120940565223751699e-04 -5.309218389105376446e+01 7.792012927772954400e-01 1.854827247746575036e+00 -3.055604767358701679e+01 2.690204853988738876e+01 5.640336312920742756e+01 1.043825357096098827e+02 -1.095856398209994076e+01 -6.384508107393421783e-01 -1.353683741319784195e+00 2.883724212793776775e+00 2.880168156504974064e+01 2.621236827437483752e-04 -1.311537089027936271e-03 1.192758180192126337e-03 1.064550087215594004e-04 2.556318455661555494e-03 -2.395996551008506897e-04 5.289498875210475390e-03 3.848628718289862083e-02 1.565040763619363669e-03
1.769484235233764313e-04 3.126877676139461002e-06 -8.409036080462016548e-05 -3.079804580086461727e-03 -6.051597818986439093e-12 -2.792179249087798493e-06 -2.656652924951612496e-03 -8.872294362188273484e-04 -2.329955829802197437e-05 -1.500692891316728339e+00 4.779151907924170106e-02 -6.397940872940086066e-02 -1.429474587004719588e+01 -1.358518852332707283e+01 -1.193770518745858311e+01 -1.095856398209994076e+01 7.671517166966791201e+00 2.849294069540724006e-02 -1.852166415440534009e-01 -2.854097015857076647e-01 2.673516855958419369e-01 1.647574164101247874e-05 -6.598469285536664701e-06 -9.414461806175095267e-04 -8.010763477149017518e-04 5.912437935239247579e-03 -2.593750130809644935e-03 -2.557224428611072718e-03 -1.419811552074680232e-03 -4.810980659480957331e-04
5.709433856759338013e-05 -9.040886474713703499e-05 -4.470658540101374792e-06 2.967776789330008242e-04 -1.131367883792913998e-12 2.693231889083472403e-06 1.195308262352021660e-04 -1.216105303431881711e-04 1.469260831417411951e-05 3.378606660145990204e-01 -9.837149958161470198e-03 -2.777557574141185648e-01 -5.150662479613514755e+00 7.324101845772178210e-02 -7.084282421392872342e-01 -6.384508107393420673e-01 2.849294069540721924e-02 3.368272815315558777e+00 4.832776629478300334e-01 5.754557750271949851e-02 1.682832453872256870e-02 2.040608935779577974e-04 -7.443385003575519588e-06 -5.347723763333734085e-04 -2.932390236913402196e-04 7.405424785001291262e-04 -1.294199147097702726e-03 1.143071685759517592e-03 1.306611648005892492e-03 -2.265671211158997540e-04
2.839936933675138659e-04 -2.960307428257671208e-04 2.483136227540660675e-05 -3.042570098101895506e-04 -6.860598031173707879e-13 4.669358119271591734e-06 5.650690951812323282e-04 6.455378165966492237e-05 4.361685140978856836e-05 5.625461669445728230e-01 5.534160828007197303e-03 3.771745907130590741e-02 7.586679090841510487e+00 -1.196879097744198539e+00 -9.490877059584119646e-01 -1.353683741319784417e+00 -1.852166415440534009e-01 4.832776629478299779e-01 3.207214872399799077e+00 2.759938798209180089e+00 2.936509821041688006e+00 -1.989277541907024857e-04 -9.319160894363922925e-06 7.524907371699199148e-04 9.164591489787758238e-04 -9.433310887884734791e-04 -6.672471832972116544e-05 9.256195832879891188e-04 6.086556217662747112e-03 -6.261172733287407536e-04
1.656171887240738680e-04 -7.816047820553687943e-05 -2.795560251911190320e-05 -7.893141925828559653e-04 -2.495778878943669450e-12 1.060980525587135692e-05 -1.128346590716171848e-03 -3.759008591340299524e-04 1.172880165178039221e-04 -6.070446873796771392e+00 1.496523314218367873e-01 2.058019283760192053e+00 -9.454015096060173207e+00 1.446377027240098201e+00 2.288489394728504767e+00 2.883724212793777220e+00 -2.854097015857076092e-01 5.754557750271948463e-02 2.759938798209179645e+00 1.043653655920016021e+01 1.902242467412644444e+01 -5.500482837037547190e-05 4.722002026670669788e-04 3.291348366665238032e-03 1.963848028949720902e-03 9.837163900756307438e-05 2.098078720934641594e-03 6.311393355793152096e-03 3.962702763043236126e-02 -3.656371729213174385e-04
-3.019635972056300909e-04 3.256553066246421248e-04 -5.582647138693905552e-05 6.437919983097121351e-04 3.293401642130149758e-12 6.975738506780107710e-06 -1.445036949267689648e-03 5.674043764184347020e-04 5.275289374048909965e-04 -3.314640559031517597e+01 2.269568518988512029e-01 2.765111556399053594e+00 -2.273906325888225410e+01 5.515207134889540397e-01 4.482387375564831800e+00 2.880168156504974064e+01 2.673516855958419924e-01 1.682832453872260686e-02 2.936509821041688006e+00 1.902242467412644444e+01 5.295822211090436582e+01 2.557339394877795093e-05 1.032834702297287218e-03 6.084184901899057467e-03 2.285479310717053198e-03 4.166653058883785198e-03 -1.803308893213492043e-04 5.574530339617242598e-03 6.338973515790836954e-02 7.824656983809890904e-04
-6.632214801642063110e-08 7.361907893241356133e-08 -7.661042373982506406e-09 -8.741350712166171402e-08 3.190425969951390581e-16 2.552562050090751593e-09 -2.586696296007437749e-07 4.034238685558767114e-08 -2.693989517032968130e-08 -1.953048682010987270e-04 5.360197077581167337e-06 8.728852088689418654e-05 3.460337612866752101e-03 -6.079867400886516883e-05 2.555103652343705505e-04 2.621236827437483752e-04 1.647574164101248552e-05 2.040608935779577974e-04 -1.989277541907024857e-04 -5.500482837037548546e-05 2.557339394877794416e-05 3.790343969466413600e-07 5.474271908054109088e-10 8.552049317112557910e-08 -4.210010418820548369e-07 -1.610983860175422393e-07 -1.618789140691542271e-07 -4.208888161146123841e-08 -3.195188543026473560e-06 1.200801945805177787e-07
-1.614954943219204400e-08 5.853826695901841541e-08 -1.038465962458247012e-08 -9.472756069776965326e-08 -3.849610343260703687e-16 -1.875623696773387450e-10 -4.411318896593513077e-07 -1.068728426712032568e-07 2.322318014526694541e-09 6.840734507649098763e-04 -1.582698881110120234e-07 -5.905727541081357419e-05 9.564666911155008744e-04 2.388982938578830431e-04 -3.276580852481507009e-04 -1.311537089027936271e-03 -6.598469285536668937e-06 -7.443385003575522976e-06 -9.319160894363924619e-06 4.722002026670669788e-04 1.032834702297287435e-03 5.474271908054119427e-10 3.855065829171796149e-07 3.648701336422167975e-07 3.269872652452616954e-07 6.049337137729854595e-07 5.293622347309913137e-07 1.850836601357374292e-07 8.530315102884868032e-07 5.889142844776355127e-08
-2.238158876819704618e-06 3.656494567556380306e-06 -5.123165590151004626e-07 2.112542723057804249e-06 -9.362060037688336708e-15 2.786787095072368727e-07 -2.227667594408542462e-05 -3.027964310627521375e-06 8.185090583412578874e-08 -2.977499374196608366e-03 9.838953401571319654e-05 7.540465902014729504e-04 -4.925023355444787913e-03 -7.167190998356697809e-04 1.367851835226678407e-03 1.192758180192127204e-03 -9.414461806175097435e-04 -5.347723763333731917e-04 7.524907371699198063e-04 3.291348366665237165e-03 6.084184901899056599e-03 8.552049317112540704e-08 3.648701336422167975e-07 1.445657802173909261e-03 2.668501148018476697e-04 9.425045037113622876e-06 -3.839043283572634874e-04 -9.527822469775571390e-05 -2.020244483559643369e-04 7.220416140977247361e-06
9.091084373026621441e-07 -8.696801544183733613e-08 4.559135463194472756e-08 -9.121305336121986513e-08 -1.000295868747146156e-14 1.694743390531223975e-07 -7.306144508346038696e-06 6.051366460980470321e-09 -3.172480649485667637e-06 -1.920779791743871699e-03 3.499283106914801534e-05 -3.986648736250025978e-04 8.688921360628528399e-04 -2.744050106880693580e-03 -2.451006500681874364e-03 1.064550087215615146e-04 -8.010763477149009928e-04 -2.932390236913403280e-04 9.164591489787756069e-04 1.963848028949720902e-03 2.285479310717051463e-03 -4.210010418820546781e-07 3.269872652452615896e-07 2.668501148018476697e-04 9.058836497427129883e-04 -2.253740139288374882e-05 7.680590082076411366e-04 5.027048906158253005e-05 -8.700699815898672298e-04 -1.589896358591911639e-06
-4.039535989636982364e-06 2.328417665334779225e-06 -6.761589843311501328e-07 -5.073371883110157655e-06 -3.952037885114645912e-14 -1.837376222395273178e-07 -4.892506123815683026e-06 -9.309310683139866171e-06 8.704775446264226152e-07 -6.258313328520176931e-03 2.848444161799398746e-04 5.648980339147418759e-04 -1.237100506737274890e-02 -9.392434308610499855e-03 -3.618237041664585903e-04 2.556318455661553760e-03 5.912437935239251048e-03 7.405424785001294514e-04 -9.433310887884734791e-04 9.837163900756234255e-05 4.166653058883786065e-03 -1.610983860175424245e-07 6.049337137729857772e-07 9.425045037113622876e-06 -2.253740139288375898e-05 7.115907917348459656e-03 -2.883529159563375443e-04 5.288822725054039258e-04 4.374442286602695656e-03 6.931954824657693449e-06
3.635517600590108864e-06 -2.535386627254328618e-06 -1.421063559784168426e-07 -3.198012792729814120e-06 -2.908811561015822876e-14 -2.511546759299202781e-09 -1.381830719756964074e-05 -2.990461315222548971e-06 -5.312809425527482115e-06 1.480893459365365244e-03 1.186197223984760372e-04 -2.005426793608798130e-04 1.093367020676326053e-02 7.804614542152983614e-03 4.024706336187929348e-03 -2.395996551008497952e-04 -2.593750130809644502e-03 -1.294199147097702292e-03 -6.672471832972067755e-05 2.098078720934641594e-03 -1.803308893213499903e-04 -1.618789140691542800e-07 5.293622347309912078e-07 -3.839043283572634874e-04 7.680590082076414618e-04 -2.883529159563375443e-04 2.914651336065976137e-03 4.561968442599223018e-04 -1.205391289112529374e-03 -1.069284837943023491e-05
-1.474273479198567360e-05 1.783528781308601100e-05 -3.191748720680696844e-06 -2.757375499225378437e-07 -1.202434529515700057e-14 -4.778909988285441969e-07 -7.282687434558133925e-05 -1.346666691201733326e-06 -2.721002238960526619e-06 -8.415177316265673403e-04 5.903234356564674096e-04 1.579861963586486973e-03 -3.025375302172848488e-02 7.478764222822601240e-03 1.723812194126989050e-02 5.289498875210477125e-03 -2.557224428611074019e-03 1.143071685759516724e-03 9.256195832879885767e-04 6.311393355793152096e-03 5.574530339617240864e-03 -4.208888161146142370e-08 1.850836601357374292e-07 -9.527822469775572745e-05 5.027048906158254361e-05 5.288822725054040342e-04 4.561968442599223560e-04 6.515398122270847463e-03 8.496323516038038759e-03 2.786463387730277527e-05
-2.018351971055442763e-05 2.537521886077284130e-05 -5.675082722817108008e-06 -8.464788618110959456e-06 -1.875021362339711744e-13 -8.204038773770095963e-07 -1.281464711834613506e-04 -4.068188393895546423e-05 -8.892380235515828839e-06 -2.759309390267286610e-02 3.122621691410667772e-03 7.810073665279129371e-03 -1.704964230123960367e-01 4.795240648867801075e-02 7.855232307812054504e-02 3.848628718289860001e-02 -1.419811552074677630e-03 1.306611648005891191e-03 6.086556217662747979e-03 3.962702763043234738e-02 6.338973515790835567e-02 -3.195188543026473983e-06 8.530315102884876502e-07 -2.020244483559642827e-04 -8.700699815898672298e-04 4.374442286602695656e-03 -1.205391289112529591e-03 8.496323516038038759e-03 7.313761710241818703e-02 3.396237009096766908e-05
-1.053844545210550361e-04 1.135201813053270993e-04 -1.468304765618849780e-05 6.393590974208967844e-06 -2.430232525116951536e-14 -4.685406084233849393e-07 -3.113458400188598451e-04 -4.247497090853598957e-06 1.516817986962871849e-07 -2.850897222381607293e-03 3.372452721249759758e-06 2.253409953447843572e-04 -1.265247972957372728e-02 -5.708917470789023202e-03 -2.807340782537869322e-03 1.565040763619363669e-03 -4.810980659480958415e-04 -2.265671211158999708e-04 -6.261172733287407536e-04 -3.656371729213174385e-04 7.824656983809890904e-04 1.200801945805177523e-07 5.889142844776355127e-08 7.220416140977246514e-06 -1.589896358591916721e-06 6.931954824657691755e-06 -1.069284837943023321e-05 2.786463387730277866e-05 3.396237009096766908e-05 2.626955730243869650e-04
