# snid z logmass logsfr logssfr SDSSu PS1g umg chi2 nbands
2010A -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2010H -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2010Y -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2011B -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2011M -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2012E -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2012V -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2012Z -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2013E -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2013Q -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2014I -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2014J -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2014R -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2015F -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2015I -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2015N -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2016W -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
20470 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
20625 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
21034 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
21062 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
