Name    |             z|Survey|        RAdeg         DEdeg|       umagg|       gmagg|       rmagg|       imagg|       zmagg|     e_umagg|     e_gmagg|     e_rmagg|     e_imagg|     e_zmagg|       umagl|       gmagl|       rmagl|       imagl|       zmagl|     e_umagl|     e_gmagl|     e_rmagl|     e_imagl|     e_zmagl|         Ful|         Fgl|         Frl|         Fil|         Fzl|       e_Ful|       e_Fgl|       e_Frl|       e_Fil|       e_Fzl|          U-Vl|        e_U-Vl|          U-Vg|        e_U-Vg|          logMs|        e_logMs|      Dist
03D1fc  |0.330931705346|SNLS5 | 36.431650000  -4.144058333|   22.367256|   21.609336|   20.187314|   19.476403|   19.114186|    0.029038|    0.009837|    0.007892|    0.007518|    0.011367|   23.717332|   22.974254|   21.505363|   20.730068|   20.403488|    0.006909|    0.001535|    0.000755|    0.000645|    0.001151|  325.887040|  646.098041| 2499.508548| 5104.728618| 6896.120648|    3.581684|    2.738375|    8.982981|   17.619370|   36.071591| 0.96361646420| 0.02813520550| 0.92259020000| 0.02709935860|  10.6894529833|   0.0305294560|  2.478502
03D1fl  |0.685648534750|SNLS5 | 36.492908333  -4.128897222|   22.926261|   22.345696|   20.885433|   19.789694|   19.431265|    0.054165|    0.014816|    0.009430|    0.007938|    0.012150|   25.304621|   24.653446|   22.996050|   21.712950|   21.417738|    0.018854|    0.004367|    0.001794|    0.001051|    0.001966|   75.535576|  137.601039|  633.257103| 2064.524927| 2709.597758|    1.763386|    0.813568|    2.591033|    7.396248|   15.002555| 0.80368836680| 0.05285656010| 0.79432386480| 0.01785615940|  11.3184479895|   0.0246588191|  2.471309
03D1fq  |0.798565989980|SNLS5 | 36.731933333  -4.302216667|   25.240670|   24.761454|   23.176226|   21.770985|   21.135944|    0.250450|    0.065254|    0.028352|    0.013896|    0.018883|   28.089507|   26.961513|   25.022161|   23.460292|   22.857677|    0.210139|    0.031930|    0.009570|    0.004136|    0.006301|    5.810280|   16.420813|   97.979589|  412.936350|  719.331548|    1.454623|    0.539758|    1.208911|    2.597570|    6.608114| 1.08562512950| 0.07643347280| 0.93701958290| 0.01959811640|  10.8178594033|   0.0204099670|  1.887237
04D1ag  |0.555745653145|SNLS5 | 36.171237500  -4.288750000|   23.225050|   21.531133|   19.814314|   18.641014|   18.149881|    0.371497|    0.031790|    0.013115|    0.009076|    0.013390|   26.627358|   25.025906|   23.204849|   21.957884|   21.449840|    0.069064|    0.006502|    0.002246|    0.001331|    0.002139|   22.338640|   97.642173|  522.468803| 1647.579552| 2630.655029|    1.974402|    0.794368|    2.362710|    6.214231|   14.928453| 1.09324595260| 0.02831121870| 1.05620110410| 0.01700480100|  11.5860607997|   0.0123876532|  3.951542
04D1aj  |0.719626358030|SNLS5 | 36.474833333  -4.994611111|    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |   30.022516|   29.302673|   29.471466|   27.935663|   27.743337|    2.003613|    0.428364|    0.811479|    0.353190|    0.826719|    0.979476|    1.900775|    1.627097|    6.694756|    7.992180|    2.378169|    0.850373|    1.664366|    3.102303|    8.197530|99.00000000000|-1.00000000000|99.00000000000|-1.00000000000|-999.0000000000|-999.0000000000| 42.367666
04D1ak  |0.524788242607|SNLS5 | 36.888979167  -4.327438889|   23.064745|   23.299555|   22.324988|   21.810812|   21.576342|    0.048171|    0.024689|    0.018355|    0.017730|    0.031933|   25.689637|   25.965705|   24.956041|   24.406950|   24.239157|    0.031032|    0.016455|    0.011192|    0.011825|    0.026997|   52.984043|   41.088280|  104.131867|  172.671158|  201.528783|    2.141262|    0.781099|    1.610284|    2.883496|    7.134070| 0.01377678930| 0.02767761260| 0.02045959120| 0.02896003000|   9.5028598596|   0.0798368999|  4.219335
04D1dc  |0.210032285623|SNLS5 | 36.576933333  -4.311969444|   20.950302|   19.940305|   18.646983|   17.933191|   17.565041|    0.022401|    0.008747|    0.007618|    0.007318|    0.011019|   22.955294|   21.908115|   20.581277|   19.831030|   19.468867|    0.004854|    0.000882|    0.000479|    0.000422|    0.000734|  657.479646| 1724.860307| 5854.492697|11683.905958|16309.972621|    6.307974|    6.862597|   20.568779|   39.598841|   83.116130| 1.13139190480| 0.03275990790| 1.07992578070| 0.00619171540|  10.8886562196|   0.0301582842|  6.491164
04D1de  |0.766589948454|SNLS5 | 36.649620833  -4.422622222|   23.300578|   23.660957|   22.973967|   21.992991|   21.788987|    0.041479|    0.023595|    0.021986|    0.015379|    0.028757|   25.628723|   26.025240|   25.370333|   24.453949|   24.250818|    0.024534|    0.014969|    0.013617|    0.010788|    0.024592|   56.041626|   38.895918|   71.099526|  165.356243|  199.376008|    1.661446|    0.615965|    1.231972|    2.395270|    5.791457|-0.00898899050| 0.02316144660| 0.08996988450| 0.02403694640|   9.9184653527|   0.0642189182|  3.483730
04D1ff  |0.858512874957|SNLS5 | 36.410925000  -4.902630556|   25.819236|   26.139493|   25.819770|   24.481228|   24.100506|    0.312159|    0.164995|    0.219695|    0.105244|    0.177309|   27.512373|   27.619440|   27.050612|   25.911021|   25.363770|    0.123297|    0.059096|    0.058710|    0.037853|    0.063763|    9.886684|    8.958263|   15.127084|   43.210729|   71.530617|    1.437528|    0.535034|    1.091579|    2.117281|    5.260346| 0.17449892730| 0.07638673710| 0.11865820210| 0.13512327760|   9.1064627135|   0.2784471059|  0.475708
04D1hd  |0.367904145605|SNLS5 | 36.536808333  -4.109633333|   24.646503|   24.729221|   23.892903|   23.581919|   23.298925|    0.109389|    0.046657|    0.039076|    0.046816|    0.086958|   26.357138|   26.710100|   25.843275|   25.553818|   25.347721|    0.064116|    0.038160|    0.029130|    0.040230|    0.094194|   28.651323|   20.699504|   45.992813|   60.044467|   72.595794|    2.650980|    1.006445|    2.004289|    3.630364|    9.056926|-0.13943680530| 0.06831089190|-0.04412018570| 0.05687920900|   8.3662875675|   0.0615523771|  4.725513
04D1hx  |0.558746297981|SNLS5 | 36.177062500  -4.790325000|   23.614520|   23.879313|   23.047474|   22.411981|   22.190488|    0.037506|    0.019570|    0.014677|    0.014261|    0.031435|   25.485661|   25.711785|   24.759091|   24.129690|   23.931935|    0.024391|    0.012584|    0.008701|    0.008691|    0.019582|   63.934521|   51.914167|  124.842796|  222.907138|  267.439726|    2.005380|    0.747902|    1.501545|    2.753491|    6.500490| 0.01893179170| 0.03060304140|-0.02198848670| 0.02796721150|   9.3030616711|   0.0919618506|  0.000000
04D1hy  |0.848509415534|SNLS5 | 36.036225000  -4.831072222|   26.228807|   26.500278|   26.289328|   25.351882|   24.696175|    0.358898|    0.187327|    0.273448|    0.184178|    0.236972|   28.244038|   28.377348|   27.933347|   26.798134|   26.248843|    0.242313|    0.123988|    0.135914|    0.084474|    0.139354|    5.039469|    4.457187|    6.709054|   19.087375|   31.656479|    1.442007|    0.558729|    1.121486|    2.085815|    5.084146| 0.09016224670| 0.08739031770|-0.10552861260| 0.11628225450|   8.5740411447|   0.2216340950|  1.313070
04D1iv  |0.996390297023|SNLS5 | 36.200212500  -4.152558333|   24.607955|   24.839372|   24.430376|   23.745658|   23.427333|    0.131790|    0.062151|    0.074621|    0.062992|    0.110546|   27.162381|   27.465362|   27.203338|   26.411680|   26.328059|    0.088008|    0.048417|    0.063087|    0.054687|    0.139872|   13.647323|   10.324167|   13.142104|   27.247595|   29.429056|    1.392035|    0.495414|    1.001738|    1.902111|    4.683037|-0.32734712050| 0.07459819950|-0.16875640940| 0.04841775140|   9.3073814746|   0.1330670060|  3.682809
04D1jd  |0.776594299139|SNLS5 | 36.961816667  -4.943788889|   26.210790|   25.512503|   23.954320|   22.597703|   21.968520|    0.674092|    0.145019|    0.059755|    0.027195|    0.036586|   27.984470|   27.577504|   25.868612|   24.348649|   23.768780|    0.197185|    0.060874|    0.020857|    0.009181|    0.014982|    6.400470|    9.311048|   44.931951|  182.196598|  310.804955|    1.510171|    0.582640|    1.177007|    2.265059|    5.627279| 1.09277619880| 0.04297439640| 0.88852115430| 0.04301948030|  10.4312428577|   0.0283072996|  1.653531
04D1jg  |0.582932417621|SNLS5 | 36.552320833  -4.134800000|   22.564550|   21.806681|   20.174805|   19.109866|   18.647590|    0.111400|    0.024323|    0.011742|    0.008868|    0.013238|   26.318766|   25.783784|   24.217315|   23.199481|   22.790433|    0.055305|    0.015009|    0.006248|    0.004541|    0.008326|   29.682029|   48.583236|  205.624063|  525.058481|  765.291334|    2.078753|    0.817727|    1.826403|    3.676296|    8.577486| 0.86488409660| 0.02294364650| 0.93045541370| 0.01676690160|  11.3999940361|   0.0185421930| 10.254615
04D1kj  |0.583742580111|SNLS5 | 36.969416667  -4.180252778|   21.584444|   21.837089|   20.948645|   20.401980|   20.215893|    0.015259|    0.010594|    0.009125|    0.008713|    0.014412|   24.531960|   24.765048|   23.776560|   23.184882|   23.014541|    0.009559|    0.005272|    0.003604|    0.003670|    0.008352|  153.891997|  124.159754|  308.585871|  532.166329|  622.563514|    1.944825|    0.850739|    1.797498|    3.183497|    6.994017| 0.02609785130| 0.02222480400|-0.04598879830| 0.02266595470|   9.9935256900|   0.0826620368|  4.807297
04D1ks  |0.796552424738|SNLS5 | 36.039650000  -4.978722222|    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |   29.927725|   29.381325|   28.073168|   27.179105|    ---     |    0.611450|    0.605437|    0.330825|    0.421746|   -0.838340|    1.068834|    1.767950|    5.898381|   13.438726|   -1.649820|    0.667564|    1.327913|    2.540126|    6.569843| 0.25460474910| 0.13270728020|99.00000000000|-1.00000000000|-999.0000000000|-999.0000000000| 22.920831
04D1oh  |0.588720988924|SNLS5 | 36.259841667  -4.236186111|   23.807632|   24.200544|   23.266662|   22.668913|   22.504554|    0.077464|    0.045298|    0.034046|    0.030788|    0.062265|   27.036644|   27.595010|   26.512928|   26.032763|   25.794624|    0.120054|    0.089290|    0.055010|    0.062607|    0.140389|   15.322955|    9.162122|   24.821547|   38.627343|   48.100599|    2.321580|    0.893208|    1.791645|    3.284913|    8.140857|-0.05642404660| 0.08227903070|-0.00994461010| 0.03769297600|   9.2520682338|   0.0898815781|  5.978585
04D1ow  |0.913472752311|SNLS5 | 36.677900000  -4.306188889|    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |   29.655734|   31.386904|   29.482002|   29.294377|   27.824993|    0.876234|    1.904739|    0.564266|    0.858949|    0.619729|    1.373114|    0.278765|    1.611385|    1.915354|    7.413147|    1.407144|    0.530646|    1.107805|    2.112554|    5.258331|99.00000000000|-1.00000000000|99.00000000000|-1.00000000000|-999.0000000000|-999.0000000000| 19.743950
04D1pc  |0.768586907426|SNLS5 | 36.603650000  -4.399400000|   25.102373|   24.437440|   23.362217|   22.094174|   21.688575|    0.462457|    0.099084|    0.065408|    0.032094|    0.052906|   28.042839|   27.620157|   26.420171|   25.099277|   24.648906|    0.214513|    0.061752|    0.035144|    0.019057|    0.035637|    6.065469|    8.952356|   27.035315|   91.261850|  138.177607|    1.559435|    0.569335|    1.188646|    2.293081|    5.770325| 0.70245677730| 0.05456030060| 0.57944667870| 0.07274796100|  10.4920694143|   0.0640422339|  3.750700
04D1pd  |0.948454576142|SNLS5 | 36.915633333  -4.631172222|   25.998643|   25.642023|   24.626851|   23.489743|   22.765801|    0.443361|    0.122446|    0.084782|    0.047730|    0.059031|   27.804667|   27.819362|   26.344127|   25.031264|   24.290931|    0.161641|    0.068958|    0.029608|    0.015998|    0.022580|    7.553236|    7.451698|   28.996733|   97.161558|  192.144274|    1.421887|    0.511649|    1.046238|    2.015285|    5.042196| 0.84966275020| 0.04233082410| 0.52292874330| 0.07502384290|  10.2495937274|   0.0839655550|  1.054059
04D1pg  |0.513793195675|SNLS5 | 36.767329167  -4.175286111|   24.537214|   24.067423|   22.611011|   21.872190|   21.508403|    0.160984|    0.045160|    0.021847|    0.017935|    0.030088|   26.258734|   25.810813|   24.295558|   23.452298|   23.074835|    0.049914|    0.015424|    0.006545|    0.005470|    0.010697|   31.369422|   47.388716|  191.327179|  415.987999|  588.933270|    2.044861|    0.846581|    1.814687|    3.450335|    8.298370| 0.72915533120| 0.03134137160| 0.62531570140| 0.03856487520|  10.0782929003|   0.0229905542|  0.376847
04D1pp  |0.733608502098|SNLS5 | 36.301991667  -4.701583333|   24.661793|   23.478255|   21.656165|   20.127765|   19.552587|    0.300904|    0.042299|    0.015656|    0.008876|    0.012934|   26.868255|   25.519606|   23.573209|   21.927172|   21.371029|    0.074340|    0.009727|    0.002955|    0.001272|    0.001962|   17.893604|   61.966574|  372.148493| 1694.850237| 2828.708631|    1.607924|    0.666067|    1.873078|    6.273525|   15.467658| 1.14126344520| 0.10694402970| 1.07542489050| 0.01249394030|  11.3895178447|   0.0131315742|  1.228045
04D1pu  |0.637700520846|SNLS5 | 36.868641667  -4.744933333|   23.107775|   23.479550|   22.664653|   22.035539|   21.822038|    0.042916|    0.029498|    0.025119|    0.021509|    0.038630|   25.213100|   25.394920|   24.436999|   23.696274|   23.484129|    0.021079|    0.012911|    0.009095|    0.007897|    0.016829|   82.178850|   69.507571|  167.957886|  332.269300|  403.969164|    2.169701|    0.993783|    2.050317|    3.684019|    8.340975| 0.09340791960| 0.02282621450|-0.07020312570| 0.03670295700|   9.3940132074|   0.1025070230|  1.433743
04D1qd  |0.765588378082|SNLS5 | 36.637812500  -4.107177778|   24.140547|   24.020451|   22.750945|   21.385986|   20.917950|    0.091661|    0.033099|    0.019701|    0.011260|    0.016660|   25.790646|   25.566197|   24.234717|   22.779907|   22.341293|    0.028378|    0.009944|    0.005128|    0.002621|    0.004476|   48.277154|   59.363714|  202.354686|  772.746484| 1157.398567|    1.652545|    0.645927|    1.466173|    3.678216|    8.328825| 0.84262642740| 0.02711715170| 0.78554558910| 0.01949529680|  10.8282545553|   0.0151073453|  0.895245
04D1rh  |0.434860641739|SNLS5 | 36.946450000  -4.253766667|   23.399558|   23.113813|   21.841187|   21.224386|   20.844707|    0.086766|    0.028455|    0.017054|    0.015565|    0.025375|   25.842642|   25.541713|   24.159861|   23.435833|   23.035402|    0.041441|    0.013865|    0.006864|    0.006497|    0.012422|   46.019647|   60.717628|  216.798142|  422.344384|  610.715679|    2.611004|    1.030915|    2.231557|    4.191336|   10.126890| 0.63253545000| 0.02732630860| 0.48840602380| 0.02628278880|  10.1086469479|   0.0452972257|  3.154320
04D1rx  |0.983407188009|SNLS5 | 36.295958333  -4.618350000|   26.671064|   26.293097|   25.332193|   24.247986|   23.566851|    0.583345|    0.177198|    0.121820|    0.079755|    0.121917|   31.068688|   29.867698|   28.335813|   27.240513|   26.598957|    3.117208|    0.458159|    0.191111|    0.126675|    0.201360|    0.373701|    1.129590|    4.631000|   12.699740|   22.930693|    1.351055|    0.512219|    1.069776|    2.053729|    5.256466| 0.51712763830| 0.09540141500| 0.43686216220| 0.07160704920|   9.9933453843|   0.1144624724|  0.000000
04D1sa  |0.583742925762|SNLS5 | 36.983995833  -4.176069444|   23.795727|   23.097808|   21.436770|   20.430619|   20.038815|    0.091701|    0.023475|    0.011367|    0.008968|    0.013988|   25.877999|   25.074623|   23.319327|   22.241075|   21.863880|    0.031822|    0.007584|    0.002696|    0.001845|    0.003487|   44.545141|   93.357883|  470.185323| 1269.317159| 1796.586012|    1.799416|    0.847880|    2.307048|    5.263534|   11.689901| 0.93361564940| 0.05003711920| 0.90764766990| 0.01868812280|  10.8644944976|   0.0197795736|  2.420945
04D1si  |0.700631466655|SNLS5 | 36.203316667  -4.568950000|   23.351564|   23.271519|   22.159140|   21.013466|   20.565167|    0.055456|    0.023033|    0.015593|    0.010395|    0.016042|   25.351453|   25.198602|   24.041881|   22.822835|   22.373099|    0.018447|    0.007277|    0.004281|    0.002581|    0.004608|   72.346734|   83.283570|  241.683768|  742.790143| 1123.984788|    1.646981|    0.705667|    1.546289|    3.527374|    8.259979| 0.65021609320| 0.02333075170| 0.59747590970| 0.02559250300|  10.7562594012|   0.0272298991|  1.480677
04D1sk  |0.662058327774|SNLS5 | 36.094908333  -4.353619444|   23.860536|   23.725699|   22.536506|   21.538450|   21.153508|    0.088045|    0.034296|    0.021081|    0.014313|    0.023552|   27.185630|   26.993950|   25.777536|   24.770062|   24.347403|    0.093047|    0.036681|    0.020255|    0.014564|    0.027958|   13.358206|   15.937489|   48.863626|  123.587689|  182.405947|    1.530800|    0.622771|    1.277596|    2.433643|    6.110114| 0.53615123530| 0.02934640000| 0.53785633510| 0.03309838700|  10.4674561629|   0.0286294037|  4.228673
05D1az  |0.840522003459|SNLS5 | 36.302108333  -4.602336111|    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |    ---     |   28.194049|   28.971851|   28.497935|   27.125608|   26.678934|    0.234431|    0.218087|    0.236693|    0.120659|    0.235548|    5.276919|    2.577863|    3.988651|   14.117468|   21.302296|    1.462777|    0.603681|    1.153983|    2.169979|    5.861869| 0.08915014330| 0.17895070350|99.00000000000|-1.00000000000|-999.0000000000|-999.0000000000| 25.773405
05D1cb  |0.630698885702|SNLS5 | 36.737733333  -4.117566667|   22.354014|   22.546218|   21.544705|   20.821523|   20.524223|    0.035706|    0.018459|    0.013758|    0.011482|    0.019326|   26.274097|   26.633344|   25.754011|   25.080788|   24.755022|    0.043515|    0.027199|    0.020266|    0.019156|    0.039806|   30.928670|   22.215819|   49.933915|   92.829216|  125.311612|    1.676751|    0.687332|    1.307387|    2.368967|    6.048841|-0.00600127210| 0.03548385180| 0.17128457180| 0.02826528380|  10.2466494012|   0.0776847369|  6.630544
05D1cc  |0.562750679413|SNLS5 | 36.629866667  -4.164800000|   23.439760|   23.778826|   22.844725|   22.258770|   22.090306|    0.042165|    0.023411|    0.018641|    0.017946|    0.034275|   25.008834|   25.251900|   24.211225|   23.539517|   23.380968|    0.016233|    0.008709|    0.005845|    0.005772|    0.013240|   99.189671|   79.293971|  206.780645|  383.878143|  444.234928|    2.085321|    0.852300|    1.734282|    3.240448|    7.542139| 0.10944026280| 0.02510569250| 0.00174115400| 0.02198400890|   9.3720805574|   0.0699721302|  1.121047
05D1ck  |0.615698139623|SNLS5 | 36.103541667  -4.712800000|   22.382498|   22.686500|   21.815462|   21.214267|   21.030734|    0.024384|    0.014775|    0.012245|    0.011338|    0.020938|   24.649413|   24.858690|   23.861364|   23.204307|   23.029442|    0.011649|    0.006266|    0.004196|    0.004042|    0.009591|  138.113046|  113.900038|  285.400220|  522.729789|  614.077242|    2.073929|    0.913390|    1.821004|    3.290788|    7.752259| 0.06576511510| 0.02714693770|-0.03623411830| 0.02387233500|   9.7083848742|   0.0927408097|  2.871874
05D1cl  |0.828528225244|SNLS5 | 36.273562500  -4.220819444|   25.803957|   26.389392|   25.804319|   24.925947|   24.872832|    0.303026|    0.189312|    0.194119|    0.139833|    0.348941|   27.233830|   27.800759|   27.388701|   26.328422|   25.951493|    0.119406|    0.082216|    0.092850|    0.062494|    0.133782|   12.778153|    7.580474|   11.079481|   29.419235|   41.629643|    1.808308|    0.671112|    1.260330|    2.347059|    6.516968|-0.08357441540| 0.08209011400|-0.10463167870| 0.10675586240|   8.6550800525|   0.2151182911|  0.968440
05D1dn  |0.564741047536|SNLS5 | 36.111041667  -4.991558333|   22.502695|   22.423029|   21.290729|   20.567213|   20.213572|    0.062780|    0.024606|    0.015563|    0.012792|    0.022812|   26.250717|   26.153218|   24.968895|   24.210386|   23.900454|    0.069196|    0.028181|    0.015105|    0.013261|    0.031483|   31.601899|   34.571064|  102.906326|  206.940529|  275.307721|    2.787842|    1.135082|    2.067530|    3.753804|   10.710592| 0.33515202060| 0.03075394610| 0.33743221810| 0.03583622060|  10.4970445208|   0.1012248259| 10.933969
05D1dx  |0.578745107423|SNLS5 | 36.945791667  -4.032488889|   25.532523|   25.321389|   23.977313|   23.122567|   22.779858|    0.183876|    0.066521|    0.035256|    0.025661|    0.044897|   27.158031|   26.969661|   25.657823|   24.761531|   24.414889|    0.093622|    0.038408|    0.019465|    0.014873|    0.030348|   13.702116|   16.298045|   54.559576|  124.562554|  171.413273|    1.625554|    0.723036|    1.397148|    2.515389|    6.408845| 0.54254355600| 0.04841099470| 0.54103747250| 0.04764394210|   9.6819551888|   0.0360526407|  2.692453
05D1ee  |0.557742989660|SNLS5 | 36.194787500  -4.000486111|   23.939080|   23.148874|   21.553481|   20.366530|   19.820449|    0.156187|    0.028008|    0.013181|    0.009206|    0.013420|   26.750572|   25.357101|   23.454509|   22.062348|   21.468963|    0.100153|    0.011299|    0.003418|    0.001763|    0.002713|   19.942109|   71.971331|  415.141804| 1496.445782| 2584.727358|    2.552633|    0.981096|    2.338292|    6.088842|   15.451213| 1.39666089760| 0.05643540220| 0.99508911020| 0.02164187850|  10.9455008220|   0.0502430993|  0.989274
05D1ej  |0.310952559932|SNLS5 | 36.526454167  -4.729480556|   22.063693|   21.106281|   19.653379|   18.866237|   18.443792|    0.085381|    0.014759|    0.009258|    0.008180|    0.012727|   24.178164|   23.052508|   21.455215|   20.528818|   20.109030|    0.014884|    0.002176|    0.000895|    0.000662|    0.001264|  213.174158|  601.169067| 2617.664027| 6144.306670| 9044.575333|    4.929932|    2.879918|    9.616732|   21.246059|   47.619616| 1.28728085510| 0.02345450440| 1.06151446670| 0.02272174310|  10.8644171735|   0.0163000052|  2.237559
