SURVEY: WFIRST   
SNID:   62   
IAUC:    NULL 
PHOTOMETRY_VERSION: ROMAN_NIR 
SNTYPE:  1 
FILTERS: ZYJH 
RA:      189.354401  deg 
DEC:     62.221527  deg 
PIXSIZE:  0.1100  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.509831 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.510434 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   55004.910 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  snoopy.B18 
SIM_MODEL_INDEX:  4 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = snoopy.B18  
SIM_LIBID:  43  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.50983  
SIM_REDSHIFT_CMB:    0.51043  
SIM_REDSHIFT_HOST:   0.50983  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      42.3142  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        189.354401 deg  
SIM_DEC:       62.221527 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_AVTAU:        0.000   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.108  mag  (host extinction at 5510 A)
SIM_RV:         3.100   (CCM89 extinction parameter) 
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (ZYJH F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.05  23.36  23.53  24.09  (ZYJH obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (ZYJH obs)
SIM_PEAKMJD:   55005.000000  days 
SIM_STRETCH:    1.017  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 304 
NVAR: 14 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS  FLT_REST  SIM_MAGREST AVWARP KCOR
OBS:  55014.000  J MEDIUM   3.1416e+01   1.229e+00    0  31.688   0.91  23.7948  i -18.3022 -1.861 -0.217
OBS:  55014.000  H MEDIUM   1.4818e+01   8.305e-01    0  32.024   0.92  24.5560  Y -17.8589 0.300 0.101
OBS:  55014.000  Y MEDIUM   3.9086e+01   1.524e+00    0  31.483   0.91  23.5130  i -17.9982 0.340 -0.803
OBS:  55014.000  Z MEDIUM   5.4736e+01   1.752e+00    0  31.401   0.91  23.1265  r -18.6555 0.164 -0.532
OBS:  55015.000  H MEDIUM   1.5135e+01   8.334e-01    0  32.024   0.92  24.6020  Y -17.8215 0.265 0.109
OBS:  55015.000  J MEDIUM   3.0376e+01   1.220e+00    0  31.688   0.91  23.8286  i -18.2626 -1.872 -0.223
OBS:  55015.000  Y MEDIUM   3.8170e+01   1.516e+00    0  31.483   0.91  23.5530  i -17.9586 0.380 -0.803
OBS:  55015.000  Z MEDIUM   5.3122e+01   1.739e+00    0  31.401   0.91  23.1538  r -18.6182 0.144 -0.542
OBS:  55016.000  J MEDIUM   2.8225e+01   1.201e+00    0  31.688   0.91  23.8618  i -18.2198 -1.869 -0.232
OBS:  55016.000  H MEDIUM   1.4194e+01   8.246e-01    0  32.024   0.92  24.6437  Y -17.7876 0.187 0.117
OBS:  55016.000  Y MEDIUM   3.5555e+01   1.494e+00    0  31.483   0.91  23.5955  i -17.9159 0.409 -0.803
OBS:  55016.000  Z MEDIUM   5.2327e+01   1.733e+00    0  31.401   0.91  23.1837  r -18.5778 0.122 -0.553
OBS:  55017.000  H MEDIUM   1.3253e+01   8.157e-01    0  32.024   0.92  24.6800  Y -17.7580 0.058 0.124
OBS:  55017.000  Y MEDIUM   3.4984e+01   1.489e+00    0  31.483   0.91  23.6408  i -17.8695 0.424 -0.804
OBS:  55017.000  J MEDIUM   2.9139e+01   1.210e+00    0  31.688   0.91  23.8942  i -18.1734 -1.849 -0.246
OBS:  55017.000  Z MEDIUM   5.0350e+01   1.717e+00    0  31.401   0.91  23.2166  r -18.5338 0.098 -0.564
OBS:  55018.000  H MEDIUM   1.2357e+01   8.072e-01    0  32.024   0.92  24.7020  Y -17.7371 -0.131 0.125
OBS:  55018.000  J MEDIUM   2.7156e+01   1.192e+00    0  31.688   0.91  23.9234  i -18.1214 -1.781 -0.269
OBS:  55018.000  Y MEDIUM   2.9868e+01   1.445e+00    0  31.483   0.91  23.6877  i -17.8174 0.393 -0.809
OBS:  55018.000  Z MEDIUM   4.9511e+01   1.710e+00    0  31.401   0.91  23.2548  r -18.4852 0.070 -0.574
OBS:  55019.000  H MEDIUM   1.1707e+01   8.009e-01    0  32.024   0.92  24.7212  Y -17.7215 -0.326 0.129
OBS:  55019.000  J MEDIUM   2.4322e+01   1.167e+00    0  31.688   0.91  23.9500  i -18.0676 -1.707 -0.297
OBS:  55019.000  Y MEDIUM   3.4154e+01   1.482e+00    0  31.483   0.91  23.7368  i -17.7636 0.374 -0.814
