SURVEY: WFIRST   
SNID:   35   
IAUC:    NULL 
PHOTOMETRY_VERSION: ROMAN_NIR 
SNTYPE:  1 
FILTERS: ZYJH 
RA:      189.354401  deg 
DEC:     62.221527  deg 
PIXSIZE:  0.1100  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.548587 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.549206 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   55005.031 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  snoopy.B18 
SIM_MODEL_INDEX:  4 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = snoopy.B18  
SIM_LIBID:  43  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.54859  
SIM_REDSHIFT_CMB:    0.54921  
SIM_REDSHIFT_HOST:   0.54859  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      42.5056  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        189.354401 deg  
SIM_DEC:       62.221527 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_AVTAU:        0.000   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.324  mag  (host extinction at 5510 A)
SIM_RV:         3.100   (CCM89 extinction parameter) 
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (ZYJH F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.37  23.74  23.88  24.33  (ZYJH obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (ZYJH obs)
SIM_PEAKMJD:   55005.000000  days 
SIM_STRETCH:    1.148  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 312 
NVAR: 14 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS  FLT_REST  SIM_MAGREST AVWARP KCOR
OBS:  55002.000  H MEDIUM   1.9670e+01   8.746e-01    0  32.024   0.92  24.2172  Y -18.2925 -1.430 0.004
OBS:  55002.000  J MEDIUM   3.0973e+01   1.225e+00    0  31.688   0.91  23.8365  i -18.3062 -1.144 -0.363
OBS:  55002.000  Y MEDIUM   3.1669e+01   1.461e+00    0  31.483   0.91  23.7471  r -18.4742 0.457 -0.284
OBS:  55002.000  Z MEDIUM   4.3444e+01   1.661e+00    0  31.401   0.91  23.4164  r -18.5911 0.313 -0.498
OBS:  55003.000  H MEDIUM   2.0186e+01   8.792e-01    0  32.024   0.92  24.2514  Y -18.2557 -1.532 0.001
OBS:  55003.000  J MEDIUM   2.9600e+01   1.214e+00    0  31.688   0.91  23.8477  i -18.2914 -1.214 -0.367
OBS:  55003.000  Z MEDIUM   4.2910e+01   1.656e+00    0  31.401   0.91  23.3977  r -18.6065 0.302 -0.501
OBS:  55003.000  Y MEDIUM   3.1928e+01   1.463e+00    0  31.483   0.91  23.7452  r -18.4895 0.480 -0.271
OBS:  55004.000  Y MEDIUM   3.0231e+01   1.448e+00    0  31.483   0.91  23.7443  r -18.5028 0.490 -0.259
OBS:  55004.000  H MEDIUM   2.0324e+01   8.804e-01    0  32.024   0.92  24.2896  Y -18.2144 -1.619 -0.002
OBS:  55004.000  J MEDIUM   2.8917e+01   1.208e+00    0  31.688   0.91  23.8630  i -18.2740 -1.271 -0.369
OBS:  55004.000  Z MEDIUM   4.2727e+01   1.655e+00    0  31.401   0.91  23.3828  r -18.6197 0.301 -0.503
OBS:  55005.000  Y MEDIUM   2.7798e+01   1.427e+00    0  31.483   0.91  23.7442  r -18.5143 0.490 -0.247
OBS:  55005.000  Z MEDIUM   4.6035e+01   1.682e+00    0  31.401   0.91  23.3712  r -18.6312 0.308 -0.503
OBS:  55005.000  H MEDIUM   1.9151e+01   8.700e-01    0  32.024   0.92  24.3312  Y -18.1693 -1.691 -0.005
OBS:  55005.000  J MEDIUM   2.8453e+01   1.203e+00    0  31.688   0.91  23.8818  i -18.2546 -1.315 -0.369
OBS:  55006.000  Z MEDIUM   4.5976e+01   1.681e+00    0  31.401   0.91  23.3653  r -18.6383 0.326 -0.502
OBS:  55006.000  H MEDIUM   1.8146e+01   8.610e-01    0  32.024   0.92  24.3776  Y -18.1190 -1.740 -0.009
OBS:  55006.000  Y MEDIUM   3.2863e+01   1.471e+00    0  31.483   0.91  23.7461  r -18.5214 0.469 -0.238
OBS:  55006.000  J MEDIUM   2.8029e+01   1.200e+00    0  31.688   0.91  23.9059  i -18.2332 -1.333 -0.367
OBS:  55007.000  Z MEDIUM   4.5244e+01   1.675e+00    0  31.401   0.91  23.3618  r -18.6437 0.347 -0.500
OBS:  55007.000  H MEDIUM   1.6964e+01   8.503e-01    0  32.024   0.92  24.4231  Y -18.0674 -1.779 -0.015
OBS:  55007.000  Y MEDIUM   3.1334e+01   1.458e+00    0  31.483   0.91  23.7493  r -18.5267 0.445 -0.230
OBS:  55007.000  J MEDIUM   2.8542e+01   1.204e+00    0  31.688   0.91  23.9310  i -18.2115 -1.342 -0.363
OBS:  55008.000  J MEDIUM   2.5782e+01   1.180e+00    0  31.688   0.91  23.9576  i -18.1894 -1.339 -0.359
OBS:  55008.000  H MEDIUM   1.7428e+01   8.545e-01    0  32.024   0.92  24.4676  Y -18.0145 -1.805 -0.024
OBS:  55008.000  Y MEDIUM   3.2490e+01   1.468e+00    0  31.483   0.91  23.7541  r -18.5299 0.414 -0.222
OBS:  55008.000  Z MEDIUM   4.6439e+01   1.685e+00    0  31.401   0.91  23.3611  r -18.6469 0.372 -0.498
OBS:  55009.000  H MEDIUM   1.6245e+01   8.437e-01    0  32.024   0.92  24.5078  Y -17.9609 -1.802 -0.037
OBS:  55009.000  J MEDIUM   2.6297e+01   1.184e+00    0  31.688   0.91  23.9866  i -18.1673 -1.324 -0.352
OBS:  55009.000  Y MEDIUM   3.0831e+01   1.453e+00    0  31.483   0.91  23.7622  r -18.5291 0.361 -0.214
OBS:  55009.000  Z MEDIUM   4.3560e+01   1.662e+00    0  31.401   0.91  23.3637  r -18.6460 0.398 -0.496
OBS:  55010.000  H MEDIUM   1.5923e+01   8.407e-01    0  32.024   0.92  24.5501  Y -17.9074 -1.761 -0.048
OBS:  55010.000  Y MEDIUM   3.1269e+01   1.457e+00    0  31.483   0.91  23.7716  r -18.5257 0.328 -0.208
OBS:  55010.000  Z MEDIUM   4.4975e+01   1.673e+00    0  31.401   0.91  23.3682  r -18.6426 0.422 -0.495
OBS:  55010.000  J MEDIUM   2.3991e+01   1.164e+00    0  31.688   0.91  24.0149  i -18.1454 -1.323 -0.345
OBS:  55011.000  H MEDIUM   1.2558e+01   8.091e-01    0  32.024   0.92  24.5971  Y -17.8544 -1.660 -0.054
OBS:  55011.000  Y MEDIUM   3.0887e+01   1.454e+00    0  31.483   0.91  23.7824  r -18.5186 0.335 -0.205
OBS:  55011.000  Z MEDIUM   4.4367e+01   1.668e+00    0  31.401   0.91  23.3753  r -18.6355 0.442 -0.495
OBS:  55011.000  J MEDIUM   2.1937e+01   1.145e+00    0  31.688   0.91  24.0413  i -18.1240 -1.349 -0.340
OBS:  55012.000  Y MEDIUM   2.8539e+01   1.433e+00    0  31.483   0.91  23.7969  r -18.5063 0.372 -0.202
