SURVEY:   CfAIR2 
SNID:      sn2009al 
FILTERS:  abcdefghijklmnopqrsBCDEFGHIJKLMN 
RA:    162.842000  # deg 
DEC:         8.578528  # deg 
REDSHIFT_HELIO: 0.022105 +- 0.000100   # Helio 
REDSHIFT_FINAL: 0.023291 +- 0.000100   # CMB 
MWEBV:      0.021 +-  0.004        # SFD98 * 0.86 
VPEC:       6.426 
VPEC_ERR:   250.000 
PEAKMJD:  54893.20             # at brightest obs 
HOSTGAL_LOGMASS:  10.8490 +- 0.477  #  

# ----------------------------------- 
NOBS: 124 
NVAR: 7 
VARLIST: MJD   FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 54918.300  n NULL  1.79639e+04 5.11970e+02 16.864 16.864 
OBS: 54920.200  n NULL  1.67571e+04 3.13358e+02 16.939 16.939 
OBS: 54922.200  n NULL  1.52897e+04 2.95092e+02 17.039 17.039 
OBS: 54931.100  n NULL  8.09096e+03 1.61010e+02 17.730 17.730 
OBS: 54945.200  n NULL  5.72268e+03 1.31622e+02 18.106 18.106 
OBS: 54946.200  n NULL  5.26745e+03 1.58023e+02 18.196 18.196 
OBS: 54948.200  n NULL  5.02343e+03 1.37140e+02 18.247 18.247 
OBS: 54950.200  n NULL  4.93401e+03 1.34698e+02 18.267 18.267 
OBS: 54890.400  o NULL  1.87413e+04 5.37876e+02 16.818 16.818 
OBS: 54891.300  o NULL  2.03142e+04 2.77899e+03 16.730 16.730 
OBS: 54894.400  o NULL  2.18273e+04 1.20705e+03 16.652 16.652 
OBS: 54896.400  o NULL  2.00632e+04 1.22987e+03 16.744 16.744 
OBS: 54898.200  o NULL  2.00632e+04 1.40643e+03 16.744 16.744 
OBS: 54905.300  o NULL  1.60842e+04 1.19023e+03 16.984 16.984 
OBS: 54906.400  o NULL  1.52897e+04 2.76744e+02 17.039 17.039 
OBS: 54907.200  o NULL  1.48320e+04 2.53627e+02 17.072 17.072 
OBS: 54909.300  o NULL  1.41840e+04 2.36873e+02 17.120 17.120 
OBS: 54913.300  o NULL  1.44079e+04 4.40881e+02 17.104 17.104 
OBS: 54914.300  o NULL  1.48867e+04 3.75146e+02 17.068 17.068 
OBS: 54915.300  o NULL  1.54241e+04 3.03855e+02 17.029 17.029 
OBS: 54918.300  o NULL  1.54170e+04 2.96006e+02 17.030 17.030 
OBS: 54920.200  o NULL  1.50869e+04 3.37947e+02 17.053 17.053 
OBS: 54922.200  o NULL  1.45479e+04 2.86593e+02 17.093 17.093 
OBS: 54931.100  o NULL  8.88791e+03 1.96423e+02 17.628 17.628 
OBS: 54945.200  o NULL  5.40506e+03 1.11885e+02 18.168 18.168 
OBS: 54946.200  o NULL  5.08862e+03 1.30269e+02 18.233 18.233 
OBS: 54948.200  o NULL  4.49780e+03 9.49035e+01 18.367 18.367 
OBS: 54950.200  o NULL  4.32713e+03 1.19861e+02 18.410 18.410 
END: 
