SURVEY:   CfAIR2 
SNID:      2007co 
FILTERS:  abcdefghijklmnopqrsBCDEFGHIJKLMN 
RA:    275.765000  # deg 
DEC:        29.897111  # deg 
REDSHIFT_HELIO: 0.026962 +- 0.000100   # Helio 
REDSHIFT_FINAL: 0.026563 +- 0.000100   # CMB 
MWEBV:      0.097 +-  0.016        # SFD98 * 0.86 
VPEC:      283.193 
VPEC_ERR:   250.000 
PEAKMJD:  54285.30             # at brightest obs 
HOSTGAL_LOGMASS:  10.3660 +- 3.818  #  

# ----------------------------------- 
NOBS: 140 
NVAR: 7 
VARLIST: MJD   FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 54264.170  j NULL  1.27644e+04 2.37308e+02 17.235  0.020 
OBS: 54265.364  j NULL  1.25314e+04 2.09485e+02 17.255  0.018 
OBS: 54266.300  j NULL  1.22800e+04 1.82305e+02 17.277  0.016 
OBS: 54267.336  j NULL  1.16305e+04 4.14268e+02 17.336  0.038 
OBS: 54267.400  j NULL  1.15239e+04 4.10470e+02 17.346  0.038 
OBS: 54270.191  j NULL  1.08143e+04 1.90913e+02 17.415  0.019 
OBS: 54272.344  j NULL  9.31537e+03 1.90680e+02 17.577  0.022 
OBS: 54273.329  j NULL  8.70964e+03 1.61924e+02 17.650  0.020 
OBS: 54276.327  j NULL  6.86752e+03 1.53496e+02 17.908  0.024 
OBS: 54277.339  j NULL  6.66807e+03 1.99453e+02 17.940  0.032 
OBS: 54277.416  j NULL  6.68652e+03 1.68365e+02 17.937  0.027 
OBS: 54278.311  j NULL  6.58264e+03 1.53329e+02 17.954  0.025 
OBS: 54279.345  j NULL  6.65580e+03 1.48763e+02 17.942  0.024 
OBS: 54280.287  j NULL  6.12632e+03 1.77440e+02 18.032  0.031 
OBS: 54282.282  j NULL  6.74839e+03 2.72629e+02 17.927  0.043 
OBS: 54284.242  j NULL  6.89922e+03 2.58917e+02 17.903  0.040 
OBS: 54284.329  j NULL  6.98876e+03 1.89185e+02 17.889  0.029 
OBS: 54288.396  j NULL  7.89951e+03 2.06370e+02 17.756  0.028 
OBS: 54290.187  j NULL  8.18842e+03 2.21660e+02 17.717  0.029 
OBS: 54292.306  j NULL  8.24138e+03 1.68696e+02 17.710  0.022 
OBS: 54292.373  j NULL  8.24138e+03 2.15301e+02 17.710  0.028 
OBS: 54295.219  j NULL  7.33162e+03 1.56968e+02 17.837  0.023 
END: 
