OBS:   56912.096  g  E2  -1.7844e+00   1.1923e+01    1   -9  30.747 2.922 20.6 3.9 4.05 209.09 878.93  20140911 
OBS:   56912.098  r  E2  -2.7786e+00   1.1781e+01    1   -9  30.769 2.792 21.0 4.1 3.93 206.30 886.55  20140911 
OBS:   56912.101  i  E2   7.8584e+00   1.1932e+01    1   -9  31.044 2.701 27.7 7.9 3.90 202.35 887.32  20140911 
OBS:   56912.103  z  E2   1.9450e+01   1.3316e+01    1   -9  31.491 2.763 45.7 15.7 4.04 207.82 892.21  20140911 
OBS:   56916.089  g  E2  -5.9020e+00   1.0925e+01    1   -9  29.841 3.109 7.4 1.7 3.78 217.68 884.65  20140915 
OBS:   56916.091  r  E2   3.4999e+01   2.4816e+01    1   -9  29.495 2.841 13.9 1.3 3.88 215.14 884.83  20140915 
OBS:   56916.093  i  E2   3.3262e+01   4.4204e+01    1   -9  29.543 2.955 25.4 2.0 3.91 205.44 884.05  20140915 
OBS:   56916.096  z  E2   5.7081e+01   2.9045e+01    1   -9  30.643 2.430 48.0 7.2 4.06 215.88 880.91  20140915 
OBS:   56920.075  g  E2   4.2971e+00   3.8296e+00    1   -9  30.732 2.318 6.7 3.9 3.81 203.24 838.31  20140919 
OBS:   56920.077  r  E2  -5.1975e+00   6.0926e+00    1   -9  30.780 2.350 11.2 4.1 3.74 190.90 826.30  20140919 
OBS:   56920.082  z  E2   1.2439e+01   1.0040e+01    1   -9  31.469 2.260 39.1 15.1 4.08 184.60 823.42  20140919 
OBS:   56925.158  g  E2  -6.7733e+00   9.4099e+00    1   -9  29.752 2.568 7.3 1.6 3.81 200.68 861.29  20140924 
OBS:   56925.160  r  E2  -1.9837e+01   6.4749e+00    1   -9  30.667 2.425 10.8 3.7 3.73 201.42 875.38  20140924 
OBS:   56925.162  i  E2   9.2619e+00   7.6844e+00    1   -9  31.047 2.344 18.4 7.9 3.83 193.60 870.49  20140924 
OBS:   56925.165  z  E2   6.2798e+00   1.0266e+01    1   -9  31.470 2.517 35.3 15.3 4.03 192.46 881.60  20140924 
OBS:   56930.127  g  E2   2.0162e+00   4.3369e+00    1   -9  30.764 2.227 8.7 3.9 3.81 201.77 860.93  20140929 
OBS:   56930.130  r  E2  -1.0163e+01   5.5127e+00    1   -9  30.788 1.994 11.8 4.1 3.79 204.75 851.31  20140929 
OBS:   56930.132  i  E2  -5.9100e+00   6.9967e+00    1   -9  31.022 1.873 20.6 7.7 3.83 189.80 867.80  20140929 
