#  target                ra         dec       mjd  filter  aper       flux  fluxerr         mag   magerr  magsys       zp      sky skyerr  image
crusher            39.96895    -1.59803  55289.673   f814w  0.40    -0.0001   0.0000     38.2825  -9.0000     ab   25.9405   0.0000 0.0000  abell370_f814w_e00-e100_sub_masked.fits
crusher            39.96895    -1.59803  55289.673   f814w  0.50    -0.0001   0.0000     38.0769  -9.0000     ab   25.9405   0.0000 0.0000  abell370_f814w_e00-e100_sub_masked.fits
crusher            39.96895    -1.59803  55289.673   f814w   inf    -0.0000   0.0000     39.4206  -9.0000     ab   25.9405   0.0000 0.0000  abell370_f814w_e00-e100_sub_masked.fits
crusher            39.96895    -1.59803  57375.833   f814w  0.30    -0.0473   0.1463     26.6096  -9.0000     ab   25.9470  -0.0008 0.0028  abell370_f814w_e06-e100_sub_masked.fits
crusher            39.96895    -1.59803  57375.833   f814w  0.40    -0.1159   0.2342     26.1675  -9.0000     ab   25.9470  -0.0008 0.0028  abell370_f814w_e06-e100_sub_masked.fits
crusher            39.96895    -1.59803  57375.833   f814w  0.50    -0.1941   0.2694     26.0807  -9.0000     ab   25.9470  -0.0008 0.0028  abell370_f814w_e06-e100_sub_masked.fits
crusher            39.96895    -1.59803  57375.833   f814w   inf     0.0065   0.0277     31.4174   4.6379     ab   25.9470  -0.0008 0.0028  abell370_f814w_e06-e100_sub_masked.fits
crusher            39.96895    -1.59803  57377.995   f814w  0.30    -0.0875   0.1378     26.6747  -9.0000     ab   25.9470  -0.0007 0.0029  abell370_f814w_e07-e100_sub_masked.fits
crusher            39.96895    -1.59803  57377.995   f814w  0.40     0.0759   0.1985     28.7465   2.8391     ab   25.9470  -0.0007 0.0029  abell370_f814w_e07-e100_sub_masked.fits
crusher            39.96895    -1.59803  57377.995   f814w  0.50     0.1257   0.1932     28.1982   1.6677     ab   25.9470  -0.0007 0.0029  abell370_f814w_e07-e100_sub_masked.fits
crusher            39.96895    -1.59803  57377.995   f814w   inf    -0.0037   0.0318     28.4977  -9.0000     ab   25.9470  -0.0007 0.0029  abell370_f814w_e07-e100_sub_masked.fits
crusher            39.96895    -1.59803  57380.438   f814w  0.30     0.1024   0.1492     28.4209   1.5813     ab   25.9470  -0.0007 0.0028  abell370_f814w_e08-e100_sub_masked.fits
crusher            39.96895    -1.59803  57380.438   f814w  0.40     0.1567   0.1679     27.9594   1.1632     ab   25.9470  -0.0007 0.0028  abell370_f814w_e08-e100_sub_masked.fits
crusher            39.96895    -1.59803  57380.438   f814w  0.50     0.2167   0.2667     27.6075   1.3362     ab   25.9470  -0.0007 0.0028  abell370_f814w_e08-e100_sub_masked.fits
crusher            39.96895    -1.59803  57380.438   f814w   inf     0.0654   0.0268     28.9085   0.4447     ab   25.9470  -0.0007 0.0028  abell370_f814w_e08-e100_sub_masked.fits
crusher            39.96895    -1.59803  57382.957   f814w  0.30     1.1530   0.1016     25.7924   0.0957     ab   25.9470  -0.0007 0.0025  abell370_f814w_e09-e100_sub_masked.fits
crusher            39.96895    -1.59803  57382.957   f814w  0.40     1.1050   0.1765     25.8386   0.1734     ab   25.9470  -0.0007 0.0025  abell370_f814w_e09-e100_sub_masked.fits
crusher            39.96895    -1.59803  57382.957   f814w  0.50     1.0210   0.2119     25.9244   0.2253     ab   25.9470  -0.0007 0.0025  abell370_f814w_e09-e100_sub_masked.fits
crusher            39.96895    -1.59803  57382.957   f814w   inf     0.7915   0.0323     26.2008   0.0443     ab   25.9470  -0.0007 0.0025  abell370_f814w_e09-e100_sub_masked.fits
crusher            39.96895    -1.59803  57385.110   f814w  0.30     3.1536   0.1987     24.7000   0.0684     ab   25.9470  -0.0007 0.0028  abell370_f814w_e10-e100_sub_masked.fits
crusher            39.96895    -1.59803  57385.110   f814w  0.40     3.1126   0.2147     24.7142   0.0749     ab   25.9470  -0.0007 0.0028  abell370_f814w_e10-e100_sub_masked.fits
crusher            39.96895    -1.59803  57385.110   f814w  0.50     3.0565   0.2789     24.7339   0.0991     ab   25.9470  -0.0007 0.0028  abell370_f814w_e10-e100_sub_masked.fits
crusher            39.96895    -1.59803  57385.110   f814w   inf     2.1553   0.0502     25.1133   0.0253     ab   25.9470  -0.0007 0.0028  abell370_f814w_e10-e100_sub_masked.fits
crusher            39.96895    -1.59803  57389.857   f814w  0.30    12.7030   0.4637     23.1872   0.0396     ab   25.9470  -0.0007 0.0028  abell370_f814w_e11-e100_sub_masked.fits
crusher            39.96895    -1.59803  57389.857   f814w  0.40    12.1869   0.3294     23.2323   0.0293     ab   25.9470  -0.0007 0.0028  abell370_f814w_e11-e100_sub_masked.fits
crusher            39.96895    -1.59803  57389.857   f814w  0.50    11.6895   0.2726     23.2775   0.0253     ab   25.9470  -0.0007 0.0028  abell370_f814w_e11-e100_sub_masked.fits
crusher            39.96895    -1.59803  57389.857   f814w   inf     8.1267   0.1193     23.6722   0.0159     ab   25.9470  -0.0007 0.0028  abell370_f814w_e11-e100_sub_masked.fits
