  SN    |    MJD|f|  omag|_omag|  Phase
SN2012ht|56365.2|u|17.856|0.028| 69.500
SN2012ht|56380.1|u|18.241|0.043| 84.400
SN2012ht|56398.1|u|18.736|0.035|102.400
SN2012ht|56424.0|u|19.328|0.044|128.300
SN2012ht|56282.3|g|15.610|0.029|-13.400
SN2012ht|56283.3|g|15.104|0.032|-12.400
SN2012ht|56285.3|g|14.351|0.029|-10.400
SN2012ht|56286.3|g|14.072|0.031| -9.400
SN2012ht|56289.3|g|13.478|0.034| -6.400
SN2012ht|56289.3|g|13.463|0.033| -6.400
SN2012ht|56290.3|g|13.361|0.031| -5.400
SN2012ht|56291.3|g|13.248|0.031| -4.400
SN2012ht|56292.3|g|13.181|0.033| -3.400
SN2012ht|56295.3|g|13.044|0.031| -0.400
SN2012ht|56297.3|g|13.049|0.028|  1.600
SN2012ht|56299.3|g|13.133|0.031|  3.600
SN2012ht|56300.3|g|13.198|0.030|  4.600
SN2012ht|56300.3|g|13.179|0.029|  4.600
SN2012ht|56301.3|g|13.218|0.024|  5.600
SN2012ht|56304.3|g|13.429|0.028|  8.600
SN2012ht|56305.3|g|13.521|0.027|  9.600
SN2012ht|56306.3|g|13.619|0.024| 10.600
SN2012ht|56307.3|g|13.704|0.030| 11.600
SN2012ht|56308.3|g|13.842|0.033| 12.600
SN2012ht|56309.3|g|13.899|0.030| 13.600
SN2012ht|56310.3|g|14.003|0.030| 14.600
SN2012ht|56311.3|g|14.097|0.028| 15.600
SN2012ht|56314.3|g|14.453|0.029| 18.600
SN2012ht|56315.3|g|14.555|0.026| 19.600
SN2012ht|56316.3|g|14.617|0.025| 20.600
SN2012ht|56317.3|g|14.729|0.030| 21.600
SN2012ht|56318.2|g|14.854|0.029| 22.500
SN2012ht|56319.2|g|14.938|0.030| 23.500
SN2012ht|56320.2|g|15.036|0.030| 24.500
SN2012ht|56322.3|g|15.194|0.028| 26.600
SN2012ht|56324.2|g|15.326|0.025| 28.500
SN2012ht|56325.2|g|15.382|0.027| 29.500
SN2012ht|56326.2|g|15.458|0.025| 30.500
SN2012ht|56327.3|g|15.485|0.027| 31.600
SN2012ht|56328.3|g|15.562|0.027| 32.600
SN2012ht|56329.2|g|15.591|0.025| 33.500
SN2012ht|56330.2|g|15.670|0.027| 34.500
SN2012ht|56331.2|g|15.677|0.026| 35.500
SN2012ht|56332.2|g|15.706|0.025| 36.500
SN2012ht|56336.3|g|15.840|0.028| 40.600
SN2012ht|56337.3|g|15.862|0.029| 41.600
SN2012ht|56338.2|g|15.898|0.027| 42.500
SN2012ht|56339.2|g|15.928|0.026| 43.500
SN2012ht|56342.2|g|15.990|0.029| 46.500
SN2012ht|56345.3|g|16.062|0.028| 49.600
SN2012ht|56352.2|g|16.189|0.031| 56.500
SN2012ht|56353.2|g|16.214|0.029| 57.500
SN2012ht|56358.2|g|16.326|0.030| 62.500
SN2012ht|56365.2|g|16.443|0.026| 69.500
SN2012ht|56373.2|g|16.609|0.026| 77.500
SN2012ht|56380.1|g|16.710|0.027| 84.400
SN2012ht|56388.1|g|16.834|0.029| 92.400
SN2012ht|56398.1|g|17.018|0.026|102.400
SN2012ht|56424.0|g|17.485|0.026|128.300
SN2012ht|56282.3|r|15.617|0.036|-13.400
SN2012ht|56283.3|r|15.119|0.035|-12.400
SN2012ht|56285.3|r|14.399|0.042|-10.400
SN2012ht|56286.3|r|14.088|0.037| -9.400
SN2012ht|56289.3|r|13.508|0.036| -6.400
SN2012ht|56289.3|r|13.526|0.040| -6.400
SN2012ht|56290.3|r|13.414|0.040| -5.400
SN2012ht|56291.3|r|13.329|0.040| -4.400
SN2012ht|56292.3|r|13.270|0.039| -3.400
SN2012ht|56295.3|r|13.159|0.037| -0.400
SN2012ht|56297.3|r|13.103|0.036|  1.600
SN2012ht|56299.3|r|13.284|0.039|  3.600
SN2012ht|56300.3|r|13.285|0.036|  4.600
SN2012ht|56301.3|r|13.308|0.029|  5.600
SN2012ht|56304.3|r|13.559|0.035|  8.600
SN2012ht|56305.3|r|13.673|0.037|  9.600
SN2012ht|56306.3|r|13.719|0.028| 10.600
SN2012ht|56307.3|r|13.810|0.038| 11.600
SN2012ht|56308.3|r|13.834|0.035| 12.600
SN2012ht|56309.3|r|13.872|0.037| 13.600
SN2012ht|56310.3|r|13.927|0.038| 14.600
SN2012ht|56311.3|r|13.858|0.034| 15.600
SN2012ht|56314.3|r|13.987|0.038| 18.600
SN2012ht|56315.3|r|14.008|0.031| 19.600
SN2012ht|56316.3|r|14.031|0.029| 20.600
SN2012ht|56317.3|r|14.042|0.039| 21.600
SN2012ht|56318.2|r|14.100|0.038| 22.500
SN2012ht|56319.2|r|14.146|0.039| 23.500
SN2012ht|56320.2|r|14.202|0.039| 24.500
SN2012ht|56322.3|r|14.318|0.039| 26.600
SN2012ht|56324.2|r|14.520|0.030| 28.500
SN2012ht|56325.2|r|14.571|0.036| 29.500
SN2012ht|56326.2|r|14.685|0.029| 30.500
SN2012ht|56327.3|r|14.708|0.036| 31.600
SN2012ht|56328.3|r|14.803|0.037| 32.600
SN2012ht|56329.2|r|14.829|0.030| 33.500
SN2012ht|56330.2|r|14.932|0.034| 34.500
SN2012ht|56331.2|r|14.952|0.031| 35.500
SN2012ht|56332.2|r|15.005|0.029| 36.500
SN2012ht|56336.3|r|15.162|0.035| 40.600
SN2012ht|56337.3|r|15.223|0.037| 41.600
SN2012ht|56338.2|r|15.211|0.033| 42.500
SN2012ht|56339.2|r|15.312|0.030| 43.500
SN2012ht|56342.2|r|15.410|0.037| 46.500
